INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con maquinaria para uso agropecuario o forestal de su propiedad,,,,,,,,,,cuadro 30
"segun tipo, cantidad y funcionamiento por entidad federativa y municipio",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_maquinaria_para_uso_agropecuario_o_forestal,ejidos_y_comunidades_con_trilladoras,ejidos_y_comunidades_con_trilladoras_cantidad_total,ejidos_y_comunidades_con_trilladoras_en_funcionamiento,ejidos_y_comunidades_con_motogruas,ejidos_y_comunidades_con_motogruas_cantidad_total,ejidos_y_comunidades_con_motogruas_en_funcionamiento,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal_cantidad_total,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal_en_funcionamiento
Santo Domingo Chihuitan,1,0,0,0,0,0,0,1,1,1
San Vicente Lachixio,1,0,0,0,1,1,1,0,0,0
Teococuilco de Marcos Perez,1,0,0,0,1,2,2,0,0,0
Tlalixtac de Cabrera,1,0,0,0,0,0,0,1,1,1
Villa de Zaachila,1,0,0,0,0,0,0,1,2,2
Zimatlan de alvarez,1,0,0,0,1,6,6,1,1,1
Puebla,41,5,5,4,6,9,9,35,55,52
Ahuazotepec,1,0,0,0,0,0,0,1,2,2
Chalchicomula de Sesma,2,1,1,1,0,0,0,1,1,1
Chiautla,1,0,0,0,0,0,0,1,1,1
Chietla,2,0,0,0,0,0,0,2,4,4
Chignahuapan,7,1,1,1,0,0,0,6,6,6
Huauchinango,1,0,0,0,1,2,2,0,0,0
Izucar de Matamoros,4,0,0,0,0,0,0,4,6,6
Lafragua,1,0,0,0,1,1,1,0,0,0
Ocoyucan,1,0,0,0,0,0,0,1,1,1
Puebla,1,1,1,0,0,0,0,1,3,2
San Juan Atenco,1,0,0,0,0,0,0,1,2,2
San Salvador el Verde,1,0,0,0,0,0,0,1,1,0
Tecali de Herrera,1,0,0,0,0,0,0,1,1,1
Tecamachalco,1,1,1,1,1,1,1,1,3,3
Teopantlan,1,0,0,0,0,0,0,1,1,1
Teziutlan,1,0,0,0,0,0,0,1,1,1
Tilapa,3,1,1,1,0,0,0,3,5,5
Tlachichuca,1,0,0,0,0,0,0,1,1,1
Tlahuapan,4,0,0,0,1,2,2,4,4,4
Tlatlauquitepec,3,0,0,0,2,3,3,1,6,6
Tochimilco,1,0,0,0,0,0,0,1,1,0
Zacapoaxtla,1,0,0,0,0,0,0,1,2,2
Zihuateutla,1,0,0,0,0,0,0,1,3,3
Queretaro,3,1,2,2,0,0,0,3,6,6
San Juan del Rio,2,0,0,0,0,0,0,2,3,3
Tequisquiapan,1,1,2,2,0,0,0,1,3,3
Quintana Roo,10,1,1,0,1,1,1,8,13,13
Felipe Carrillo Puerto,1,0,0,0,0,0,0,1,2,2
Othon P. Blanco,5,1,1,0,1,1,1,3,5,5
Lazaro Cardenas,3,0,0,0,0,0,0,3,4,4
Solidaridad,1,0,0,0,0,0,0,1,2,2
San Luis Potosi,61,4,4,4,1,1,1,59,91,87
Aquismon,5,0,0,0,0,0,0,5,5,5
Cedral,1,0,0,0,0,0,0,1,1,1
Cerritos,1,0,0,0,0,0,0,1,1,1
Ciudad Fernandez,2,0,0,0,0,0,0,2,7,7
Tancanhuitz,2,0,0,0,0,0,0,2,2,2
Ciudad Valles,18,0,0,0,0,0,0,18,28,26
Charcas,1,0,0,0,0,0,0,1,1,1
Guadalcazar,1,0,0,0,0,0,0,1,1,1
Lagunillas,1,0,0,0,0,0,0,1,1,1
Rayon,1,0,0,0,0,0,0,1,4,4
Salinas,2,1,1,1,0,0,0,2,3,2
Santa Maria del Rio,1,0,0,0,0,0,0,1,1,1
Santo Domingo,1,0,0,0,1,1,1,0,0,0
Tamasopo,12,2,2,2,0,0,0,12,18,18
