INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Huejutla de Reyes,25,1798,1565,233,1495,1273,222,22
Huichapan,20,173,154,19,172,153,19,15
Ixmiquilpan,9,1985,1544,441,1985,1544,441,15
Jacala de Ledezma,9,451,388,63,247,184,63,4
Jaltocan,4,144,121,23,108,88,20,12
Juarez Hidalgo,1,30,30,0,0,0,0,3
Lolotla,2,67,39,28,55,27,28,8
Metepec,7,97,71,26,97,71,26,4
San Agustin Metzquititlan,3,116,82,34,86,68,18,4
Metztitlan,12,378,369,9,364,355,9,15
Mineral del Chico,5,618,412,206,608,402,206,1
Mineral del Monte,2,175,152,23,175,152,23,0
Mixquiahuala de Juarez,6,2695,2040,655,2695,2040,655,1
Molango de Escamilla,4,105,84,21,0,0,0,9
Nicolas Flores,2,95,83,12,95,83,12,2
Nopala de Villagran,7,112,97,15,100,85,15,2
Omitlan de Juarez,2,870,604,266,300,214,86,2
San Felipe Orizatlan,27,1259,1246,13,1181,1172,9,53
Pacula,2,154,136,18,90,74,16,0
Pachuca de Soto,5,198,150,48,190,145,45,2
Pisaflores,1,6,6,0,6,6,0,5
