INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Guerrero,150,755,50,1076,27,281,0,0,10,20,63,83
Acapulco de Juarez,2,2,2,26,0,0,0,0,0,0,1,1
Ahuacuotzingo,6,9,0,0,0,0,0,0,0,0,2,2
Ajuchitlan del Progreso,3,3,1,1,0,0,0,0,2,2,1,1
Alcozauca de Guerrero,0,0,2,2,0,0,0,0,0,0,0,0
Alpoyeca,0,0,1,6,0,0,0,0,0,0,0,0
Apaxtla,0,0,0,0,0,0,0,0,0,0,1,1
Arcelia,0,0,0,0,0,0,0,0,0,0,2,2
Atenango del Rio,5,81,0,0,0,0,0,0,0,0,0,0
Atlamajalcingo del Monte,1,1,0,0,0,0,0,0,0,0,0,0
Atlixtac,1,15,1,10,0,0,0,0,0,0,0,0
Atoyac de alvarez,1,1,1,5,1,2,0,0,0,0,1,1
Ayutla de los Libres,1,2,0,0,2,2,0,0,1,1,1,1
Azoyu,0,0,1,12,1,1,0,0,0,0,1,1
Benito Juarez,0,0,1,150,0,0,0,0,0,0,1,1
Buenavista de Cuellar,3,3,2,3,0,0,0,0,0,0,0,0
Coahuayutla de Jose Maria Izazaga,5,11,0,0,3,4,0,0,0,0,0,0
Cocula,0,0,0,0,1,1,0,0,0,0,1,1
Copala,1,1,0,0,0,0,0,0,0,0,0,0
Copalillo,3,9,1,10,0,0,0,0,0,0,2,2
Copanatoyac,1,1,0,0,0,0,0,0,0,0,0,0
Coyuca de Benitez,1,3,1,53,0,0,0,0,0,0,0,0
Coyuca de Catalan,1,1,1,1,0,0,0,0,1,1,2,2
Cuajinicuilapa,0,0,1,3,1,1,0,0,0,0,0,0
Cualac,1,8,0,0,0,0,0,0,0,0,0,0
Cuetzala del Progreso,3,11,0,0,0,0,0,0,0,0,0,0
Cutzamala de Pinzon,4,23,0,0,0,0,0,0,0,0,3,3
Chilapa de alvarez,4,11,4,21,3,254,0,0,0,0,0,0
Chilpancingo de los Bravo,0,0,0,0,1,1,0,0,2,2,1,1
Florencio Villarreal,0,0,0,0,0,0,0,0,0,0,1,1
General Canuto A. Neri,1,1,0,0,0,0,0,0,0,0,0,0
General Heliodoro Castillo,1,1,2,2,0,0,0,0,0,0,0,0
Huamuxtitlan,3,8,1,1,1,2,0,0,0,0,1,1
Huitzuco de los Figueroa,11,32,1,2,0,0,0,0,0,0,0,0
Iguala de la Independencia,8,15,0,0,0,0,0,0,0,0,7,7
Jose Azueta,0,0,1,3,0,0,0,0,0,0,0,0
Juan R. Escudero,0,0,0,0,1,1,0,0,0,0,0,0
Leonardo Bravo,1,1,0,0,0,0,0,0,1,1,1,2
Malinaltepec,0,0,0,0,0,0,0,0,0,0,1,1
Mochitlan,2,4,3,5,0,0,0,0,0,0,0,0
Olinala ,4,7,1,9,0,0,0,0,0,0,0,0
Ometepec,1,100,0,0,0,0,0,0,0,0,0,0
Petatlan,2,8,3,101,0,0,0,0,1,2,8,9
Pilcaya,3,8,0,0,2,2,0,0,0,0,1,1
Pungarabato,2,11,0,0,0,0,0,0,0,0,1,1
Quechultenango,2,5,1,1,0,0,0,0,0,0,0,0
San Luis Acatlan,3,3,3,3,0,0,0,0,0,0,0,0
San Marcos,0,0,1,20,1,1,0,0,0,0,0,0
San Miguel Totolapan,0,0,0,0,0,0,0,0,1,1,0,0
Taxco de Alarcon,5,8,0,0,0,0,0,0,0,0,4,4
Tecoanapa,2,2,1,1,2,2,0,0,0,0,0,0
Tecpan de Galeana,0,0,3,510,1,1,0,0,1,10,1,15
